AGE|AGE_SPECIFIC_CI_LOWER|AGE_SPECIFIC_CI_UPPER|AGE_SPECIFIC_RATE|COUNT|ICCC_GROUP|POPULATION|YEAR
15-19|10.6|13.6|12.0|263|III(b) Astrocytomas|21833217|2008
5-9|15.4|19.1|17.2|337|III(b) Astrocytomas|19582537|2008
<1|8.5|15.4|11.6|47|III(b) Astrocytomas|4060896|2008
1-4|10.0|13.4|11.6|184|III(c) Intracranial and intraspinal embryonal tumors|15854786|2008
10-14|3.8|5.7|4.7|95|III(c) Intracranial and intraspinal embryonal tumors|20351824|2008
15-19|2.0|3.4|2.7|58|III(c) Intracranial and intraspinal embryonal tumors|21833217|2008
5-9|6.2|8.7|7.4|144|III(c) Intracranial and intraspinal embryonal tumors|19582537|2008
<1|12.6|20.7|16.3|66|III(c) Intracranial and intraspinal embryonal tumors|4060896|2008
1-4|5.5|8.1|6.7|106|III(d) Other gliomas|15854786|2008
10-14|3.9|5.8|4.8|97|III(d) Other gliomas|20351824|2008
15-19|4.0|5.9|4.9|107|III(d) Other gliomas|21833217|2008
5-9|5.6|8.0|6.7|132|III(d) Other gliomas|19582537|2008
<1|~|~|~|~|III(d) Other gliomas|4060896|2008
1-4|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|15854786|2008
10-14|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|20351824|2008
15-19|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|21833217|2008
5-9|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|19582537|2008
<1|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|4060896|2008
1-4|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|15854786|2008
10-14|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|20351824|2008
15-19|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|21833217|2008
5-9|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|19582537|2008
<1|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|4060896|2008
1-4|18.5|23.1|20.7|328|IV Neuroblastoma and other peripheral nervous cell tumors|15854786|2008
10-14|0.7|1.6|1.1|22|IV Neuroblastoma and other peripheral nervous cell tumors|20351824|2008
15-19|~|~|~|~|IV Neuroblastoma and other peripheral nervous cell tumors|21833217|2008
5-9|3.3|5.2|4.2|82|IV Neuroblastoma and other peripheral nervous cell tumors|19582537|2008
<1|50.5|65.5|57.6|234|IV Neuroblastoma and other peripheral nervous cell tumors|4060896|2008
1-4|18.2|22.7|20.3|322|IV(a) Neuroblastoma and ganglioneuroblastoma|15854786|2008
10-14|~|~|~|~|IV(a) Neuroblastoma and ganglioneuroblastoma|20351824|2008
15-19|~|~|~|~|IV(a) Neuroblastoma and ganglioneuroblastoma|21833217|2008
5-9|3.2|5.0|4.0|79|IV(a) Neuroblastoma and ganglioneuroblastoma|19582537|2008
<1|50.2|65.2|57.4|233|IV(a) Neuroblastoma and ganglioneuroblastoma|4060896|2008
1-4|~|~|~|~|IV(b) Other peripheral nervous cell tumors|15854786|2008
10-14|~|~|~|~|IV(b) Other peripheral nervous cell tumors|20351824|2008
15-19|~|~|~|~|IV(b) Other peripheral nervous cell tumors|21833217|2008
5-9|~|~|~|~|IV(b) Other peripheral nervous cell tumors|19582537|2008
<1|~|~|~|~|IV(b) Other peripheral nervous cell tumors|4060896|2008
1-4|10.3|13.8|12.0|190|IX Soft tissue and other extraosseous sarcomas|15854786|2008
10-14|9.2|12.0|10.5|214|IX Soft tissue and other extraosseous sarcomas|20351824|2008
15-19|14.4|17.8|16.1|351|IX Soft tissue and other extraosseous sarcomas|21833217|2008
5-9|7.9|10.6|9.1|179|IX Soft tissue and other extraosseous sarcomas|19582537|2008
<1|14.1|22.6|18.0|73|IX Soft tissue and other extraosseous sarcomas|4060896|2008
1-4|6.6|9.4|7.9|125|IX(a) Rhabdomyosarcomas|15854786|2008
10-14|3.0|4.8|3.8|78|IX(a) Rhabdomyosarcomas|20351824|2008
15-19|3.6|5.5|4.5|98|IX(a) Rhabdomyosarcomas|21833217|2008
5-9|3.7|5.7|4.6|91|IX(a) Rhabdomyosarcomas|19582537|2008
<1|3.8|8.8|5.9|24|IX(a) Rhabdomyosarcomas|4060896|2008
1-4|~|~|~|~|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|15854786|2008
10-14|0.6|1.5|0.9|19|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|20351824|2008
15-19|1.0|2.1|1.5|33|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|21833217|2008
5-9|~|~|~|~|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|19582537|2008
<1|~|~|~|~|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|4060896|2008
1-4|~|~|~|~|IX(c) Kaposi sarcoma|15854786|2008
10-14|~|~|~|~|IX(c) Kaposi sarcoma|20351824|2008
15-19|~|~|~|~|IX(c) Kaposi sarcoma|21833217|2008
5-9|~|~|~|~|IX(c) Kaposi sarcoma|19582537|2008
<1|~|~|~|~|IX(c) Kaposi sarcoma|4060896|2008
1-4|1.7|3.4|2.5|39|IX(d) Other specified soft tissue sarcomas|15854786|2008
10-14|3.5|5.3|4.3|88|IX(d) Other specified soft tissue sarcomas|20351824|2008
15-19|6.7|9.1|7.8|171|IX(d) Other specified soft tissue sarcomas|21833217|2008
5-9|2.2|3.8|2.9|57|IX(d) Other specified soft tissue sarcomas|19582537|2008
<1|3.0|7.6|4.9|20|IX(d) Other specified soft tissue sarcomas|4060896|2008
1-4|0.6|1.6|1.0|16|IX(e) Unspecified soft tissue sarcomas|15854786|2008
10-14|1.0|2.0|1.4|29|IX(e) Unspecified soft tissue sarcomas|20351824|2008
15-19|1.6|2.9|2.2|48|IX(e) Unspecified soft tissue sarcomas|21833217|2008
5-9|0.5|1.4|0.9|17|IX(e) Unspecified soft tissue sarcomas|19582537|2008
<1|~|~|~|~|IX(e) Unspecified soft tissue sarcomas|4060896|2008
1-4|~|~|~|~|Not classified by ICCC|15854786|2008
10-14|~|~|~|~|Not classified by ICCC|20351824|2008
15-19|~|~|~|~|Not classified by ICCC|21833217|2008
5-9|~|~|~|~|Not classified by ICCC|19582537|2008
<1|~|~|~|~|Not classified by ICCC|4060896|2008
1-4|6.9|9.8|8.3|131|V Retinoblastoma|15854786|2008
10-14|~|~|~|~|V Retinoblastoma|20351824|2008
15-19|~|~|~|~|V Retinoblastoma|21833217|2008
5-9|~|~|~|~|V Retinoblastoma|19582537|2008
<1|22.0|32.4|26.8|109|V Retinoblastoma|4060896|2008
1-4|18.7|23.3|20.9|332|VI Renal tumors|15854786|2008
10-14|0.7|1.7|1.1|23|VI Renal tumors|20351824|2008
15-19|1.5|2.7|2.0|44|VI Renal tumors|21833217|2008
5-9|4.8|7.0|5.8|114|VI Renal tumors|19582537|2008
<1|13.4|21.8|17.2|70|VI Renal tumors|4060896|2008
1-4|18.4|22.9|20.6|326|VI(a) Nephroblastoma and other nonepithelial renal tumors|15854786|2008
10-14|~|~|~|~|VI(a) Nephroblastoma and other nonepithelial renal tumors|20351824|2008
15-19|~|~|~|~|VI(a) Nephroblastoma and other nonepithelial renal tumors|21833217|2008
5-9|4.2|6.3|5.2|102|VI(a) Nephroblastoma and other nonepithelial renal tumors|19582537|2008
<1|13.0|21.2|16.7|68|VI(a) Nephroblastoma and other nonepithelial renal tumors|4060896|2008
1-4|~|~|~|~|VI(b) Renal carcinomas|15854786|2008
10-14|~|~|~|~|VI(b) Renal carcinomas|20351824|2008
15-19|1.2|2.4|1.7|38|VI(b) Renal carcinomas|21833217|2008
5-9|~|~|~|~|VI(b) Renal carcinomas|19582537|2008
<1|~|~|~|~|VI(b) Renal carcinomas|4060896|2008
1-4|~|~|~|~|VI(c) Unspecified malignant renal tumors|15854786|2008
10-14|~|~|~|~|VI(c) Unspecified malignant renal tumors|20351824|2008
15-19|~|~|~|~|VI(c) Unspecified malignant renal tumors|21833217|2008
5-9|~|~|~|~|VI(c) Unspecified malignant renal tumors|19582537|2008
<1|~|~|~|~|VI(c) Unspecified malignant renal tumors|4060896|2008
1-4|4.3|6.7|5.4|86|VII Hepatic tumors|15854786|2008
10-14|~|~|~|~|VII Hepatic tumors|20351824|2008
15-19|0.8|1.7|1.2|26|VII Hepatic tumors|21833217|2008
5-9|0.5|1.3|0.8|16|VII Hepatic tumors|19582537|2008
<1|8.3|15.1|11.3|46|VII Hepatic tumors|4060896|2008
1-4|4.2|6.5|5.2|83|VII(a) Hepatoblastoma|15854786|2008
10-14|~|~|~|~|VII(a) Hepatoblastoma|20351824|2008
15-19|~|~|~|~|VII(a) Hepatoblastoma|21833217|2008
5-9|~|~|~|~|VII(a) Hepatoblastoma|19582537|2008
<1|8.1|14.8|11.1|45|VII(a) Hepatoblastoma|4060896|2008
1-4|~|~|~|~|VII(b) Hepatic carcinomas|15854786|2008
10-14|~|~|~|~|VII(b) Hepatic carcinomas|20351824|2008
15-19|0.7|1.6|1.1|23|VII(b) Hepatic carcinomas|21833217|2008
5-9|~|~|~|~|VII(b) Hepatic carcinomas|19582537|2008
<1|~|~|~|~|VII(b) Hepatic carcinomas|4060896|2008
1-4|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|15854786|2008
10-14|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|20351824|2008
15-19|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|21833217|2008
5-9|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|19582537|2008
<1|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|4060896|2008
1-4|0.9|2.2|1.5|23|VIII Malignant bone tumors|15854786|2008
10-14|11.5|14.6|13.0|264|VIII Malignant bone tumors|20351824|2008
15-19|12.7|15.9|14.2|310|VIII Malignant bone tumors|21833217|2008
5-9|5.0|7.3|6.1|119|VIII Malignant bone tumors|19582537|2008
<1|~|~|~|~|VIII Malignant bone tumors|4060896|2008
1-4|~|~|~|~|VIII(a) Osteosarcomas|15854786|2008
10-14|6.5|8.9|7.6|155|VIII(a) Osteosarcomas|20351824|2008
15-19|7.2|9.6|8.3|182|VIII(a) Osteosarcomas|21833217|2008
5-9|2.7|4.5|3.5|69|VIII(a) Osteosarcomas|19582537|2008
<1|~|~|~|~|VIII(a) Osteosarcomas|4060896|2008
1-4|~|~|~|~|VIII(b) Chondrosarcomas|15854786|2008
10-14|~|~|~|~|VIII(b) Chondrosarcomas|20351824|2008
15-19|0.6|1.5|1.0|22|VIII(b) Chondrosarcomas|21833217|2008
5-9|~|~|~|~|VIII(b) Chondrosarcomas|19582537|2008
<1|~|~|~|~|VIII(b) Chondrosarcomas|4060896|2008
1-4|0.6|1.6|1.0|16|VIII(c) Ewing tumor and related sarcomas of bone|15854786|2008
10-14|3.5|5.3|4.3|88|VIII(c) Ewing tumor and related sarcomas of bone|20351824|2008
15-19|2.8|4.4|3.5|77|VIII(c) Ewing tumor and related sarcomas of bone|21833217|2008
5-9|1.6|3.0|2.2|43|VIII(c) Ewing tumor and related sarcomas of bone|19582537|2008
<1|~|~|~|~|VIII(c) Ewing tumor and related sarcomas of bone|4060896|2008
1-4|~|~|~|~|VIII(d) Other specified malignant bone tumors|15854786|2008
10-14|~|~|~|~|VIII(d) Other specified malignant bone tumors|20351824|2008
15-19|0.5|1.4|0.9|19|VIII(d) Other specified malignant bone tumors|21833217|2008
5-9|~|~|~|~|VIII(d) Other specified malignant bone tumors|19582537|2008
<1|~|~|~|~|VIII(d) Other specified malignant bone tumors|4060896|2008
1-4|~|~|~|~|VIII(e) Unspecified malignant bone tumors|15854786|2008
10-14|~|~|~|~|VIII(e) Unspecified malignant bone tumors|20351824|2008
15-19|~|~|~|~|VIII(e) Unspecified malignant bone tumors|21833217|2008
5-9|~|~|~|~|VIII(e) Unspecified malignant bone tumors|19582537|2008
<1|~|~|~|~|VIII(e) Unspecified malignant bone tumors|4060896|2008
1-4|2.4|4.2|3.2|51|X Germ cell, trophoblastic tumors & neoplasms of gonads|15854786|2008
10-14|5.4|7.6|6.4|131|X Germ cell, trophoblastic tumors & neoplasms of gonads|20351824|2008
15-19|25.5|29.9|27.6|603|X Germ cell, trophoblastic tumors & neoplasms of gonads|21833217|2008
5-9|1.9|3.4|2.6|51|X Germ cell, trophoblastic tumors & neoplasms of gonads|19582537|2008
<1|16.3|25.3|20.4|83|X Germ cell, trophoblastic tumors & neoplasms of gonads|4060896|2008
1-4|~|~|~|~|X(a) Intracranial & intraspinal germ cell tumors|15854786|2008
10-14|1.7|3.0|2.3|46|X(a) Intracranial & intraspinal germ cell tumors|20351824|2008
15-19|2.2|3.6|2.8|62|X(a) Intracranial & intraspinal germ cell tumors|21833217|2008
5-9|0.8|1.8|1.2|24|X(a) Intracranial & intraspinal germ cell tumors|19582537|2008
<1|~|~|~|~|X(a) Intracranial & intraspinal germ cell tumors|4060896|2008
1-4|0.9|2.1|1.4|22|X(b) Malignant extracranial & extragonadal germ cell tumors|15854786|2008
10-14|~|~|~|~|X(b) Malignant extracranial & extragonadal germ cell tumors|20351824|2008
15-19|1.1|2.2|1.6|34|X(b) Malignant extracranial & extragonadal germ cell tumors|21833217|2008
5-9|~|~|~|~|X(b) Malignant extracranial & extragonadal germ cell tumors|19582537|2008
<1|10.0|17.4|13.3|54|X(b) Malignant extracranial & extragonadal germ cell tumors|4060896|2008
1-4|1.1|2.4|1.6|26|X(c) Malignant gonadal germ cell tumors|15854786|2008
10-14|2.6|4.2|3.3|67|X(c) Malignant gonadal germ cell tumors|20351824|2008
15-19|20.0|23.9|21.9|478|X(c) Malignant gonadal germ cell tumors|21833217|2008
5-9|0.7|1.8|1.2|23|X(c) Malignant gonadal germ cell tumors|19582537|2008
<1|3.4|8.2|5.4|22|X(c) Malignant gonadal germ cell tumors|4060896|2008
1-4|~|~|~|~|X(d) Gonadal carcinomas|15854786|2008
10-14|~|~|~|~|X(d) Gonadal carcinomas|20351824|2008
15-19|0.6|1.5|1.0|21|X(d) Gonadal carcinomas|21833217|2008
5-9|~|~|~|~|X(d) Gonadal carcinomas|19582537|2008
<1|~|~|~|~|X(d) Gonadal carcinomas|4060896|2008
1-4|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|15854786|2008
10-14|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|20351824|2008
15-19|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|21833217|2008
5-9|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|19582537|2008
<1|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|4060896|2008
1-4|1.4|2.9|2.1|33|XI Other malignant epithelial neoplasms and malignant melanomas|15854786|2008
10-14|12.8|16.1|14.4|293|XI Other malignant epithelial neoplasms and malignant melanomas|20351824|2008
15-19|46.2|52.2|49.1|1073|XI Other malignant epithelial neoplasms and malignant melanomas|21833217|2008
5-9|2.7|4.5|3.5|69|XI Other malignant epithelial neoplasms and malignant melanomas|19582537|2008
<1|6.2|12.3|8.9|36|XI Other malignant epithelial neoplasms and malignant melanomas|4060896|2008
1-4|~|~|~|~|XI(a) Adrenocortical carcinomas|15854786|2008
10-14|~|~|~|~|XI(a) Adrenocortical carcinomas|20351824|2008
15-19|~|~|~|~|XI(a) Adrenocortical carcinomas|21833217|2008
5-9|~|~|~|~|XI(a) Adrenocortical carcinomas|19582537|2008
<1|~|~|~|~|XI(a) Adrenocortical carcinomas|4060896|2008
1-4|~|~|~|~|XI(b) Thyroid carcinomas|15854786|2008
10-14|5.0|7.2|6.0|123|XI(b) Thyroid carcinomas|20351824|2008
15-19|21.4|25.5|23.4|511|XI(b) Thyroid carcinomas|21833217|2008
5-9|0.7|1.8|1.2|23|XI(b) Thyroid carcinomas|19582537|2008
<1|~|~|~|~|XI(b) Thyroid carcinomas|4060896|2008
1-4|~|~|~|~|XI(c) Nasopharyngeal carcinomas|15854786|2008
10-14|0.5|1.3|0.8|17|XI(c) Nasopharyngeal carcinomas|20351824|2008
15-19|0.9|1.9|1.3|29|XI(c) Nasopharyngeal carcinomas|21833217|2008
5-9|~|~|~|~|XI(c) Nasopharyngeal carcinomas|19582537|2008
<1|~|~|~|~|XI(c) Nasopharyngeal carcinomas|4060896|2008
1-4|~|~|~|~|XI(d) Malignant melanomas|15854786|2008
10-14|2.8|4.5|3.6|73|XI(d) Malignant melanomas|20351824|2008
15-19|11.0|14.0|12.4|271|XI(d) Malignant melanomas|21833217|2008
5-9|0.8|1.9|1.3|25|XI(d) Malignant melanomas|19582537|2008
<1|3.8|8.8|5.9|24|XI(d) Malignant melanomas|4060896|2008
1-4|~|~|~|~|XI(e) Skin carcinomas|15854786|2008
10-14|~|~|~|~|XI(e) Skin carcinomas|20351824|2008
15-19|~|~|~|~|XI(e) Skin carcinomas|21833217|2008
5-9|~|~|~|~|XI(e) Skin carcinomas|19582537|2008
<1|~|~|~|~|XI(e) Skin carcinomas|4060896|2008
1-4|~|~|~|~|XI(f) Other and unspecified carcinomas|15854786|2008
10-14|3.0|4.7|3.8|77|XI(f) Other and unspecified carcinomas|20351824|2008
15-19|10.3|13.3|11.7|256|XI(f) Other and unspecified carcinomas|21833217|2008
5-9|0.6|1.5|1.0|19|XI(f) Other and unspecified carcinomas|19582537|2008
<1|~|~|~|~|XI(f) Other and unspecified carcinomas|4060896|2008
1-4|0.6|1.6|1.0|16|XII Other and unspecified malignant neoplasms|15854786|2008
10-14|~|~|~|~|XII Other and unspecified malignant neoplasms|20351824|2008
15-19|0.6|1.5|1.0|22|XII Other and unspecified malignant neoplasms|21833217|2008
5-9|~|~|~|~|XII Other and unspecified malignant neoplasms|19582537|2008
<1|~|~|~|~|XII Other and unspecified malignant neoplasms|4060896|2008
1-4|~|~|~|~|XII(a) Other specified malignant tumors|15854786|2008
10-14|~|~|~|~|XII(a) Other specified malignant tumors|20351824|2008
15-19|~|~|~|~|XII(a) Other specified malignant tumors|21833217|2008
5-9|~|~|~|~|XII(a) Other specified malignant tumors|19582537|2008
<1|~|~|~|~|XII(a) Other specified malignant tumors|4060896|2008
1-4|~|~|~|~|XII(b) Other unspecified malignant tumors|15854786|2008
10-14|~|~|~|~|XII(b) Other unspecified malignant tumors|20351824|2008
15-19|~|~|~|~|XII(b) Other unspecified malignant tumors|21833217|2008
5-9|~|~|~|~|XII(b) Other unspecified malignant tumors|19582537|2008
<1|~|~|~|~|XII(b) Other unspecified malignant tumors|4060896|2008
1-4|209.8|224.3|217.0|3462|All ICCC Groups Combined|15955735|2009
10-14|128.3|138.4|133.3|2707|All ICCC Groups Combined|20307843|2009
15-19|208.9|221.3|215.0|4692|All ICCC Groups Combined|21819838|2009
5-9|117.4|127.2|122.2|2424|All ICCC Groups Combined|19829550|2009
<1|252.0|284.6|267.9|1054|All ICCC Groups Combined|3933652|2009
1-4|88.3|97.9|93.0|1484|I Leukemias, myeloproliferative & myelodysplastic diseases|15955735|2009
10-14|28.7|33.6|31.1|632|I Leukemias, myeloproliferative & myelodysplastic diseases|20307843|2009
15-19|28.5|33.2|30.8|671|I Leukemias, myeloproliferative & myelodysplastic diseases|21819838|2009
5-9|39.0|44.7|41.8|828|I Leukemias, myeloproliferative & myelodysplastic diseases|19829550|2009
<1|42.1|56.2|48.8|192|I Leukemias, myeloproliferative & myelodysplastic diseases|3933652|2009
1-4|73.3|82.0|77.6|1238|I(a) Lymphoid leukemias|15955735|2009
10-14|19.5|23.5|21.4|435|I(a) Lymphoid leukemias|20307843|2009
15-19|14.1|17.5|15.8|344|I(a) Lymphoid leukemias|21819838|2009
5-9|32.5|37.8|35.0|695|I(a) Lymphoid leukemias|19829550|2009
<1|15.4|24.5|19.6|77|I(a) Lymphoid leukemias|3933652|2009
1-4|9.1|12.4|10.7|170|I(b) Acute myeloid leukemias|15955735|2009
10-14|5.4|7.7|6.5|131|I(b) Acute myeloid leukemias|20307843|2009
15-19|7.4|9.9|8.6|187|I(b) Acute myeloid leukemias|21819838|2009
5-9|3.3|5.1|4.1|82|I(b) Acute myeloid leukemias|19829550|2009
<1|11.9|19.9|15.5|61|I(b) Acute myeloid leukemias|3933652|2009
1-4|0.6|1.6|1.0|16|I(c) Chronic myeloproliferative diseases|15955735|2009
10-14|1.4|2.7|2.0|41|I(c) Chronic myeloproliferative diseases|20307843|2009
15-19|3.2|5.0|4.0|88|I(c) Chronic myeloproliferative diseases|21819838|2009
5-9|0.5|1.4|0.9|17|I(c) Chronic myeloproliferative diseases|19829550|2009
<1|3.1|7.9|5.1|20|I(c) Chronic myeloproliferative diseases|3933652|2009
1-4|1.5|3.1|2.2|35|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|15955735|2009
10-14|0.5|1.4|0.9|18|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|20307843|2009
15-19|0.8|1.8|1.2|27|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|21819838|2009
5-9|~|~|~|~|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|19829550|2009
<1|3.9|9.1|6.1|24|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|3933652|2009
1-4|1.0|2.3|1.6|25|I(e) Unspecified and other specified leukemias|15955735|2009
10-14|~|~|~|~|I(e) Unspecified and other specified leukemias|20307843|2009
15-19|0.7|1.7|1.1|25|I(e) Unspecified and other specified leukemias|21819838|2009
5-9|0.7|1.7|1.1|22|I(e) Unspecified and other specified leukemias|19829550|2009
<1|~|~|~|~|I(e) Unspecified and other specified leukemias|3933652|2009
1-4|8.6|11.8|10.2|162|II Lymphomas and reticuloendothelial neoplasms|15955735|2009
10-14|22.2|26.5|24.3|493|II Lymphomas and reticuloendothelial neoplasms|20307843|2009
15-19|46.5|52.4|49.4|1077|II Lymphomas and reticuloendothelial neoplasms|21819838|2009
5-9|12.8|16.2|14.4|286|II Lymphomas and reticuloendothelial neoplasms|19829550|2009
<1|8.3|15.3|11.4|45|II Lymphomas and reticuloendothelial neoplasms|3933652|2009
1-4|0.8|2.0|1.3|21|II(a) Hodgkin lymphomas|15955735|2009
10-14|10.0|13.0|11.5|233|II(a) Hodgkin lymphomas|20307843|2009
15-19|30.0|34.8|32.3|705|II(a) Hodgkin lymphomas|21819838|2009
5-9|3.3|5.1|4.1|82|II(a) Hodgkin lymphomas|19829550|2009
<1|~|~|~|~|II(a) Hodgkin lymphomas|3933652|2009
1-4|3.4|5.5|4.4|70|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|15955735|2009
10-14|8.0|10.7|9.3|189|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|20307843|2009
15-19|12.6|15.8|14.2|309|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|21819838|2009
5-9|5.6|7.9|6.7|133|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|19829550|2009
<1|3.3|8.2|5.3|21|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|3933652|2009
1-4|1.3|2.8|1.9|31|II(c) Burkitt lymphoma|15955735|2009
10-14|2.1|3.6|2.8|56|II(c) Burkitt lymphoma|20307843|2009
15-19|1.3|2.5|1.9|41|II(c) Burkitt lymphoma|21819838|2009
5-9|1.9|3.3|2.5|50|II(c) Burkitt lymphoma|19829550|2009
<1|~|~|~|~|II(c) Burkitt lymphoma|3933652|2009
1-4|1.8|3.4|2.5|40|II(d) Miscellaneous lymphoreticular neoplasms|15955735|2009
10-14|~|~|~|~|II(d) Miscellaneous lymphoreticular neoplasms|20307843|2009
15-19|~|~|~|~|II(d) Miscellaneous lymphoreticular neoplasms|21819838|2009
5-9|~|~|~|~|II(d) Miscellaneous lymphoreticular neoplasms|19829550|2009
<1|3.5|8.5|5.6|22|II(d) Miscellaneous lymphoreticular neoplasms|3933652|2009
1-4|~|~|~|~|II(e) Unspecified lymphomas|15955735|2009
10-14|~|~|~|~|II(e) Unspecified lymphomas|20307843|2009
15-19|~|~|~|~|II(e) Unspecified lymphomas|21819838|2009
5-9|~|~|~|~|II(e) Unspecified lymphomas|19829550|2009
<1|~|~|~|~|II(e) Unspecified lymphomas|3933652|2009
1-4|39.2|45.7|42.4|676|III CNS and misc intracranial and intraspinal neoplasms|15955735|2009
10-14|24.8|29.4|27.0|549|III CNS and misc intracranial and intraspinal neoplasms|20307843|2009
15-19|18.8|22.7|20.7|451|III CNS and misc intracranial and intraspinal neoplasms|21819838|2009
5-9|32.0|37.2|34.5|685|III CNS and misc intracranial and intraspinal neoplasms|19829550|2009
<1|33.4|46.1|39.4|155|III CNS and misc intracranial and intraspinal neoplasms|3933652|2009
1-4|4.1|6.4|5.1|82|III(a) Ependymomas and choroid plexus tumor|15955735|2009
10-14|0.7|1.7|1.1|23|III(a) Ependymomas and choroid plexus tumor|20307843|2009
15-19|1.5|2.8|2.1|46|III(a) Ependymomas and choroid plexus tumor|21819838|2009
5-9|1.1|2.3|1.7|33|III(a) Ependymomas and choroid plexus tumor|19829550|2009
<1|~|~|~|~|III(a) Ependymomas and choroid plexus tumor|3933652|2009
1-4|17.7|22.1|19.8|316|III(b) Astrocytomas|15955735|2009
10-14|13.6|17.1|15.3|310|III(b) Astrocytomas|20307843|2009
15-19|10.0|12.9|11.4|249|III(b) Astrocytomas|21819838|2009
5-9|14.3|17.8|16.0|317|III(b) Astrocytomas|19829550|2009
<1|11.6|19.6|15.3|60|III(b) Astrocytomas|3933652|2009
1-4|8.2|11.3|9.7|154|III(c) Intracranial and intraspinal embryonal tumors|15955735|2009
10-14|3.2|5.0|4.0|81|III(c) Intracranial and intraspinal embryonal tumors|20307843|2009
15-19|1.9|3.3|2.6|56|III(c) Intracranial and intraspinal embryonal tumors|21819838|2009
5-9|6.9|9.4|8.1|160|III(c) Intracranial and intraspinal embryonal tumors|19829550|2009
<1|11.2|19.1|14.7|58|III(c) Intracranial and intraspinal embryonal tumors|3933652|2009
1-4|5.3|7.8|6.5|103|III(d) Other gliomas|15955735|2009
10-14|4.5|6.6|5.5|112|III(d) Other gliomas|20307843|2009
15-19|2.9|4.6|3.7|80|III(d) Other gliomas|21819838|2009
5-9|6.9|9.5|8.1|161|III(d) Other gliomas|19829550|2009
<1|~|~|~|~|III(d) Other gliomas|3933652|2009
1-4|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|15955735|2009
10-14|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|20307843|2009
15-19|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|21819838|2009
5-9|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|19829550|2009
<1|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|3933652|2009
1-4|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|15955735|2009
10-14|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|20307843|2009
15-19|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|21819838|2009
5-9|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|19829550|2009
<1|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|3933652|2009
1-4|18.5|23.0|20.7|330|IV Neuroblastoma and other peripheral nervous cell tumors|15955735|2009
10-14|0.5|1.3|0.8|16|IV Neuroblastoma and other peripheral nervous cell tumors|20307843|2009
15-19|~|~|~|~|IV Neuroblastoma and other peripheral nervous cell tumors|21819838|2009
5-9|3.2|5.0|4.0|80|IV Neuroblastoma and other peripheral nervous cell tumors|19829550|2009
<1|50.0|65.2|57.2|225|IV Neuroblastoma and other peripheral nervous cell tumors|3933652|2009
1-4|18.3|22.8|20.5|327|IV(a) Neuroblastoma and ganglioneuroblastoma|15955735|2009
