AGE|AGE_SPECIFIC_CI_LOWER|AGE_SPECIFIC_CI_UPPER|AGE_SPECIFIC_RATE|COUNT|EVENT_TYPE|POPULATION|SITE|YEAR
5-9|0.8|1.0|0.9|184|Mortality|20606460|Brain and Other Nervous System|1999
<1|~|~|~|~|Mortality|3795762|Brain and Other Nervous System|1999
1-4|3.6|4.3|4.0|528|Incidence|13297303|Brain and Other Nervous System|1999
10-14|2.4|2.9|2.6|462|Incidence|17507634|Brain and Other Nervous System|1999
15-19|1.8|2.3|2.0|353|Incidence|17355940|Brain and Other Nervous System|1999
5-9|3.1|3.6|3.4|601|Incidence|17879968|Brain and Other Nervous System|1999
<1|2.8|4.0|3.4|110|Incidence|3280395|Brain and Other Nervous System|1999
1-4|~|~|~|~|Mortality|7493614|Cervix|1999
10-14|~|~|~|~|Mortality|9855664|Cervix|1999
15-19|~|~|~|~|Mortality|9761569|Cervix|1999
5-9|~|~|~|~|Mortality|10052618|Cervix|1999
<1|~|~|~|~|Mortality|1852123|Cervix|1999
1-4|~|~|~|~|Incidence|6496024|Cervix|1999
10-14|~|~|~|~|Incidence|8535050|Cervix|1999
15-19|0.2|0.5|0.3|26|Incidence|8430546|Cervix|1999
5-9|~|~|~|~|Incidence|8723247|Cervix|1999
<1|~|~|~|~|Incidence|1600564|Cervix|1999
1-4|~|~|~|~|Mortality|15339782|Colon and Rectum|1999
10-14|~|~|~|~|Mortality|20213364|Colon and Rectum|1999
15-19|~|~|~|~|Mortality|20084602|Colon and Rectum|1999
5-9|~|~|~|~|Mortality|20606460|Colon and Rectum|1999
<1|~|~|~|~|Mortality|3795762|Colon and Rectum|1999
1-4|0.2|0.4|0.3|44|Mortality|15339782|Acute Lymphocytic|1999
10-14|0.3|0.5|0.4|75|Mortality|20213364|Acute Lymphocytic|1999
15-19|0.4|0.6|0.5|91|Mortality|20084602|Acute Lymphocytic|1999
5-9|0.2|0.4|0.3|65|Mortality|20606460|Acute Lymphocytic|1999
<1|~|~|~|~|Mortality|3795762|Acute Lymphocytic|1999
1-4|6.4|7.3|6.8|910|Incidence|13297303|Acute Lymphocytic|1999
10-14|1.8|2.3|2.0|357|Incidence|17507634|Acute Lymphocytic|1999
15-19|1.2|1.6|1.4|244|Incidence|17355940|Acute Lymphocytic|1999
5-9|2.9|3.4|3.1|557|Incidence|17879968|Acute Lymphocytic|1999
<1|1.8|2.8|2.3|74|Incidence|3280395|Acute Lymphocytic|1999
1-4|0.2|0.4|0.3|50|Mortality|15339782|Acute Myeloid|1999
10-14|0.2|0.3|0.3|54|Mortality|20213364|Acute Myeloid|1999
15-19|0.3|0.4|0.3|66|Mortality|20084602|Acute Myeloid|1999
5-9|0.1|0.2|0.1|29|Mortality|20606460|Acute Myeloid|1999
<1|~|~|~|~|Mortality|3795762|Acute Myeloid|1999
1-4|0.8|1.2|1.0|131|Incidence|13297303|Acute Myeloid|1999
10-14|0.5|0.7|0.6|103|Incidence|17507634|Acute Myeloid|1999
15-19|0.7|1.0|0.9|152|Incidence|17355940|Acute Myeloid|1999
5-9|0.4|0.6|0.5|87|Incidence|17879968|Acute Myeloid|1999
<1|0.9|1.7|1.2|41|Incidence|3280395|Acute Myeloid|1999
1-4|~|~|~|~|Mortality|15339782|Bones and Joints|1999
10-14|0.2|0.4|0.3|55|Mortality|20213364|Bones and Joints|1999
15-19|0.5|0.8|0.6|127|Mortality|20084602|Bones and Joints|1999
5-9|0.1|0.2|0.1|24|Mortality|20606460|Bones and Joints|1999
<1|~|~|~|~|Mortality|3795762|Bones and Joints|1999
1-4|0.1|0.3|0.2|29|Incidence|13297303|Bones and Joints|1999
10-14|1.3|1.7|1.5|260|Incidence|17507634|Bones and Joints|1999
15-19|1.2|1.6|1.4|244|Incidence|17355940|Bones and Joints|1999
5-9|0.5|0.7|0.6|100|Incidence|17879968|Bones and Joints|1999
<1|~|~|~|~|Incidence|3280395|Bones and Joints|1999
1-4|0.6|0.9|0.8|119|Mortality|15339782|Leukemia|1999
10-14|0.7|1.0|0.9|175|Mortality|20213364|Leukemia|1999
15-19|1.0|1.3|1.1|221|Mortality|20084602|Leukemia|1999
5-9|0.5|0.7|0.6|130|Mortality|20606460|Leukemia|1999
<1|0.5|1.0|0.7|27|Mortality|3795762|Leukemia|1999
1-4|7.7|8.7|8.2|1092|Incidence|13297303|Leukemia|1999
10-14|2.6|3.2|2.9|507|Incidence|17507634|Leukemia|1999
15-19|2.5|3.0|2.7|469|Incidence|17355940|Leukemia|1999
5-9|3.5|4.1|3.8|675|Incidence|17879968|Leukemia|1999
<1|4.0|5.5|4.7|153|Incidence|3280395|Leukemia|1999
1-4|0.7|1.0|0.8|129|Mortality|15339782|Other|1999
10-14|0.3|0.4|0.3|68|Mortality|20213364|Other|1999
15-19|0.5|0.8|0.6|127|Mortality|20084602|Other|1999
5-9|0.4|0.6|0.5|108|Mortality|20606460|Other|1999
<1|0.4|0.9|0.6|23|Mortality|3795762|Other|1999
1-4|3.6|4.3|4.0|529|Incidence|13297303|Other|1999
10-14|2.1|2.6|2.4|412|Incidence|17507634|Other|1999
15-19|7.6|8.4|8.0|1386|Incidence|17355940|Other|1999
5-9|1.0|1.3|1.1|205|Incidence|17879968|Other|1999
<1|9.9|12.2|11.0|360|Incidence|3280395|Other|1999
1-4|0.1|0.2|0.1|18|Mortality|15339782|Soft Tissue|1999
10-14|0.1|0.3|0.2|37|Mortality|20213364|Soft Tissue|1999
15-19|0.2|0.4|0.3|65|Mortality|20084602|Soft Tissue|1999
5-9|0.1|0.2|0.1|28|Mortality|20606460|Soft Tissue|1999
<1|~|~|~|~|Mortality|3795762|Soft Tissue|1999
1-4|0.8|1.1|0.9|125|Incidence|13297303|Soft Tissue|1999
10-14|0.6|0.8|0.7|119|Incidence|17507634|Soft Tissue|1999
15-19|0.8|1.1|1.0|167|Incidence|17355940|Soft Tissue|1999
5-9|0.5|0.7|0.6|102|Incidence|17879968|Soft Tissue|1999
<1|2.4|3.6|3.0|97|Incidence|3280395|Soft Tissue|1999
1-4|0.2|0.4|0.3|48|Mortality|15322337|Acute Lymphocytic|2000
10-14|0.4|0.5|0.4|92|Mortality|20637696|Acute Lymphocytic|2000
15-19|0.4|0.6|0.5|98|Mortality|20294955|Acute Lymphocytic|2000
5-9|0.3|0.5|0.4|78|Mortality|20463852|Acute Lymphocytic|2000
<1|0.2|0.7|0.4|16|Mortality|3855956|Acute Lymphocytic|2000
1-4|6.7|7.6|7.1|971|Incidence|13615288|Acute Lymphocytic|2000
10-14|1.6|2.0|1.8|321|Incidence|18336708|Acute Lymphocytic|2000
15-19|1.4|1.8|1.6|289|Incidence|17999090|Acute Lymphocytic|2000
5-9|2.9|3.5|3.2|580|Incidence|18205547|Acute Lymphocytic|2000
<1|1.9|2.9|2.4|81|Incidence|3420047|Acute Lymphocytic|2000
1-4|0.3|0.5|0.4|56|Mortality|15322337|Acute Myeloid|2000
10-14|0.2|0.3|0.2|47|Mortality|20637696|Acute Myeloid|2000
15-19|0.3|0.5|0.4|77|Mortality|20294955|Acute Myeloid|2000
5-9|0.1|0.2|0.2|33|Mortality|20463852|Acute Myeloid|2000
<1|~|~|~|~|Mortality|3855956|Acute Myeloid|2000
1-4|0.7|1.0|0.9|119|Incidence|13615288|Acute Myeloid|2000
10-14|0.4|0.6|0.5|84|Incidence|18336708|Acute Myeloid|2000
15-19|0.7|1.0|0.8|150|Incidence|17999090|Acute Myeloid|2000
5-9|0.3|0.5|0.4|71|Incidence|18205547|Acute Myeloid|2000
<1|1.0|1.8|1.3|46|Incidence|3420047|Acute Myeloid|2000
1-4|~|~|~|~|Mortality|15322337|Bones and Joints|2000
10-14|0.2|0.4|0.3|62|Mortality|20637696|Bones and Joints|2000
15-19|0.4|0.6|0.5|98|Mortality|20294955|Bones and Joints|2000
5-9|0.1|0.1|0.1|19|Mortality|20463852|Bones and Joints|2000
<1|~|~|~|~|Mortality|3855956|Bones and Joints|2000
1-4|0.1|0.2|0.2|22|Incidence|13615288|Bones and Joints|2000
10-14|1.2|1.5|1.3|246|Incidence|18336708|Bones and Joints|2000
15-19|1.2|1.6|1.4|254|Incidence|17999090|Bones and Joints|2000
5-9|0.4|0.7|0.5|99|Incidence|18205547|Bones and Joints|2000
<1|~|~|~|~|Incidence|3420047|Bones and Joints|2000
1-4|0.8|1.1|0.9|137|Mortality|15322337|Leukemia|2000
10-14|0.7|1.0|0.8|173|Mortality|20637696|Leukemia|2000
15-19|1.0|1.4|1.2|242|Mortality|20294955|Leukemia|2000
5-9|0.6|0.8|0.7|142|Mortality|20463852|Leukemia|2000
<1|0.7|1.4|1.0|38|Mortality|3855956|Leukemia|2000
1-4|7.9|8.9|8.4|1144|Incidence|13615288|Leukemia|2000
10-14|2.3|2.7|2.5|457|Incidence|18336708|Leukemia|2000
15-19|2.5|3.0|2.7|493|Incidence|17999090|Leukemia|2000
5-9|3.5|4.1|3.8|695|Incidence|18205547|Leukemia|2000
<1|4.0|5.5|4.7|162|Incidence|3420047|Leukemia|2000
1-4|0.7|1.0|0.9|135|Mortality|15322337|Other|2000
10-14|0.3|0.5|0.4|76|Mortality|20637696|Other|2000
15-19|0.6|0.8|0.7|138|Mortality|20294955|Other|2000
5-9|0.4|0.6|0.5|98|Mortality|20463852|Other|2000
<1|0.4|0.9|0.6|24|Mortality|3855956|Other|2000
1-4|3.7|4.4|4.0|546|Incidence|13615288|Other|2000
10-14|2.2|2.6|2.4|439|Incidence|18336708|Other|2000
15-19|7.6|8.4|8.0|1433|Incidence|17999090|Other|2000
5-9|1.0|1.3|1.2|215|Incidence|18205547|Other|2000
<1|9.1|11.2|10.1|345|Incidence|3420047|Other|2000
1-4|0.1|0.2|0.1|20|Mortality|15322337|Soft Tissue|2000
10-14|0.1|0.2|0.1|27|Mortality|20637696|Soft Tissue|2000
15-19|0.3|0.5|0.4|73|Mortality|20294955|Soft Tissue|2000
5-9|0.0|0.1|0.1|17|Mortality|20463852|Soft Tissue|2000
<1|~|~|~|~|Mortality|3855956|Soft Tissue|2000
1-4|0.9|1.2|1.0|141|Incidence|13615288|Soft Tissue|2000
10-14|0.7|1.0|0.9|157|Incidence|18336708|Soft Tissue|2000
15-19|1.1|1.4|1.2|224|Incidence|17999090|Soft Tissue|2000
5-9|0.5|0.7|0.6|105|Incidence|18205547|Soft Tissue|2000
<1|2.5|3.7|3.1|105|Incidence|3420047|Soft Tissue|2000
1-4|0.2|0.4|0.3|41|Mortality|15285559|Acute Lymphocytic|2001
10-14|0.3|0.5|0.4|78|Mortality|20978678|Acute Lymphocytic|2001
15-19|0.4|0.6|0.5|105|Mortality|20456284|Acute Lymphocytic|2001
5-9|0.3|0.5|0.4|84|Mortality|20173362|Acute Lymphocytic|2001
<1|~|~|~|~|Mortality|4012658|Acute Lymphocytic|2001
1-4|7.2|8.1|7.6|1081|Incidence|14133019|Acute Lymphocytic|2001
10-14|1.8|2.2|2.0|387|Incidence|19390595|Acute Lymphocytic|2001
15-19|1.4|1.7|1.5|287|Incidence|18860805|Acute Lymphocytic|2001
5-9|2.8|3.3|3.1|576|Incidence|18660987|Acute Lymphocytic|2001
<1|1.5|2.4|1.9|72|Incidence|3710508|Acute Lymphocytic|2001
1-4|0.4|0.6|0.5|73|Mortality|15285559|Acute Myeloid|2001
10-14|0.2|0.3|0.2|46|Mortality|20978678|Acute Myeloid|2001
15-19|0.3|0.4|0.3|70|Mortality|20456284|Acute Myeloid|2001
5-9|0.1|0.2|0.2|31|Mortality|20173362|Acute Myeloid|2001
<1|~|~|~|~|Mortality|4012658|Acute Myeloid|2001
1-4|0.7|1.0|0.8|117|Incidence|14133019|Acute Myeloid|2001
10-14|0.6|0.8|0.7|129|Incidence|19390595|Acute Myeloid|2001
15-19|0.7|1.0|0.8|156|Incidence|18860805|Acute Myeloid|2001
5-9|0.3|0.5|0.4|82|Incidence|18660987|Acute Myeloid|2001
<1|1.0|1.7|1.3|48|Incidence|3710508|Acute Myeloid|2001
1-4|~|~|~|~|Mortality|15285559|Bones and Joints|2001
10-14|0.3|0.4|0.3|72|Mortality|20978678|Bones and Joints|2001
15-19|0.4|0.6|0.5|101|Mortality|20456284|Bones and Joints|2001
5-9|~|~|~|~|Mortality|20173362|Bones and Joints|2001
<1|~|~|~|~|Mortality|4012658|Bones and Joints|2001
1-4|0.1|0.2|0.2|22|Incidence|14133019|Bones and Joints|2001
10-14|1.3|1.6|1.4|274|Incidence|19390595|Bones and Joints|2001
15-19|1.5|1.9|1.7|324|Incidence|18860805|Bones and Joints|2001
5-9|0.5|0.7|0.6|107|Incidence|18660987|Bones and Joints|2001
<1|~|~|~|~|Incidence|3710508|Bones and Joints|2001
1-4|0.9|1.2|1.0|155|Mortality|15285559|Leukemia|2001
10-14|0.7|0.9|0.8|170|Mortality|20978678|Leukemia|2001
15-19|1.0|1.3|1.1|225|Mortality|20456284|Leukemia|2001
5-9|0.6|0.9|0.8|153|Mortality|20173362|Leukemia|2001
<1|0.4|0.9|0.6|25|Mortality|4012658|Leukemia|2001
1-4|8.6|9.6|9.1|1281|Incidence|14133019|Leukemia|2001
10-14|2.7|3.2|2.9|572|Incidence|19390595|Leukemia|2001
15-19|2.6|3.1|2.8|535|Incidence|18860805|Leukemia|2001
5-9|3.5|4.1|3.8|705|Incidence|18660987|Leukemia|2001
<1|3.5|4.8|4.1|153|Incidence|3710508|Leukemia|2001
1-4|0.7|1.0|0.8|122|Mortality|15285559|Other|2001
10-14|0.3|0.4|0.3|70|Mortality|20978678|Other|2001
15-19|0.6|0.8|0.7|147|Mortality|20456284|Other|2001
5-9|0.3|0.5|0.4|88|Mortality|20173362|Other|2001
<1|0.2|0.7|0.4|17|Mortality|4012658|Other|2001
1-4|4.2|4.9|4.5|643|Incidence|14133019|Other|2001
10-14|2.5|2.9|2.7|522|Incidence|19390595|Other|2001
15-19|7.9|8.7|8.3|1570|Incidence|18860805|Other|2001
5-9|1.3|1.7|1.5|279|Incidence|18660987|Other|2001
<1|10.8|13.0|11.9|440|Incidence|3710508|Other|2001
1-4|0.1|0.2|0.1|18|Mortality|15285559|Soft Tissue|2001
10-14|0.1|0.2|0.2|36|Mortality|20978678|Soft Tissue|2001
15-19|0.2|0.4|0.3|61|Mortality|20456284|Soft Tissue|2001
5-9|0.1|0.2|0.1|26|Mortality|20173362|Soft Tissue|2001
<1|~|~|~|~|Mortality|4012658|Soft Tissue|2001
1-4|1.0|1.4|1.2|173|Incidence|14133019|Soft Tissue|2001
10-14|0.7|1.0|0.9|169|Incidence|19390595|Soft Tissue|2001
15-19|1.0|1.3|1.1|207|Incidence|18860805|Soft Tissue|2001
5-9|0.4|0.6|0.5|86|Incidence|18660987|Soft Tissue|2001
<1|2.9|4.1|3.4|127|Incidence|3710508|Soft Tissue|2001
1-4|0.2|0.3|0.2|34|Mortality|15477731|Acute Lymphocytic|2002
10-14|0.3|0.5|0.4|91|Mortality|21261421|Acute Lymphocytic|2002
15-19|0.4|0.6|0.5|106|Mortality|20610370|Acute Lymphocytic|2002
5-9|0.3|0.5|0.4|82|Mortality|19872417|Acute Lymphocytic|2002
<1|~|~|~|~|Mortality|3951461|Acute Lymphocytic|2002
1-4|6.8|7.7|7.3|1033|Incidence|14193665|Acute Lymphocytic|2002
10-14|1.7|2.1|1.9|361|Incidence|19507073|Acute Lymphocytic|2002
15-19|1.4|1.8|1.6|306|Incidence|18870978|Acute Lymphocytic|2002
5-9|2.9|3.4|3.2|579|Incidence|18238526|Acute Lymphocytic|2002
<1|1.5|2.4|1.9|68|Incidence|3625838|Acute Lymphocytic|2002
1-4|0.2|0.4|0.3|46|Mortality|15477731|Acute Myeloid|2002
10-14|0.2|0.3|0.2|44|Mortality|21261421|Acute Myeloid|2002
15-19|0.3|0.5|0.4|78|Mortality|20610370|Acute Myeloid|2002
5-9|0.1|0.2|0.2|34|Mortality|19872417|Acute Myeloid|2002
<1|~|~|~|~|Mortality|3951461|Acute Myeloid|2002
1-4|0.7|1.0|0.9|123|Incidence|14193665|Acute Myeloid|2002
10-14|0.5|0.8|0.7|127|Incidence|19507073|Acute Myeloid|2002
15-19|0.7|1.0|0.8|160|Incidence|18870978|Acute Myeloid|2002
5-9|0.3|0.5|0.4|77|Incidence|18238526|Acute Myeloid|2002
<1|0.9|1.7|1.3|46|Incidence|3625838|Acute Myeloid|2002
1-4|~|~|~|~|Mortality|15477731|Bones and Joints|2002
10-14|0.2|0.4|0.3|61|Mortality|21261421|Bones and Joints|2002
15-19|0.4|0.6|0.5|94|Mortality|20610370|Bones and Joints|2002
5-9|0.1|0.2|0.1|21|Mortality|19872417|Bones and Joints|2002
<1|~|~|~|~|Mortality|3951461|Bones and Joints|2002
1-4|0.1|0.3|0.2|24|Incidence|14193665|Bones and Joints|2002
10-14|1.2|1.5|1.3|263|Incidence|19507073|Bones and Joints|2002
15-19|1.4|1.8|1.6|304|Incidence|18870978|Bones and Joints|2002
5-9|0.5|0.8|0.6|114|Incidence|18238526|Bones and Joints|2002
<1|~|~|~|~|Incidence|3625838|Bones and Joints|2002
1-4|0.5|0.8|0.7|104|Mortality|15477731|Leukemia|2002
10-14|0.7|0.9|0.8|168|Mortality|21261421|Leukemia|2002
15-19|1.0|1.3|1.1|237|Mortality|20610370|Leukemia|2002
5-9|0.6|0.9|0.7|148|Mortality|19872417|Leukemia|2002
<1|0.3|0.8|0.5|21|Mortality|3951461|Leukemia|2002
1-4|8.2|9.2|8.7|1232|Incidence|14193665|Leukemia|2002
10-14|2.6|3.0|2.8|546|Incidence|19507073|Leukemia|2002
15-19|2.6|3.1|2.9|541|Incidence|18870978|Leukemia|2002
5-9|3.6|4.2|3.9|711|Incidence|18238526|Leukemia|2002
<1|3.6|5.0|4.3|155|Incidence|3625838|Leukemia|2002
1-4|0.7|1.0|0.9|136|Mortality|15477731|Other|2002
10-14|0.3|0.5|0.4|78|Mortality|21261421|Other|2002
15-19|0.6|0.8|0.7|148|Mortality|20610370|Other|2002
5-9|0.4|0.6|0.5|97|Mortality|19872417|Other|2002
<1|0.5|1.1|0.8|31|Mortality|3951461|Other|2002
1-4|3.8|4.5|4.1|587|Incidence|14193665|Other|2002
10-14|2.4|2.9|2.7|519|Incidence|19507073|Other|2002
15-19|8.4|9.3|8.8|1666|Incidence|18870978|Other|2002
5-9|1.4|1.8|1.6|289|Incidence|18238526|Other|2002
<1|10.3|12.5|11.3|411|Incidence|3625838|Other|2002
1-4|0.1|0.2|0.1|23|Mortality|15477731|Soft Tissue|2002
10-14|0.1|0.3|0.2|41|Mortality|21261421|Soft Tissue|2002
15-19|0.2|0.4|0.3|58|Mortality|20610370|Soft Tissue|2002
5-9|0.1|0.2|0.1|28|Mortality|19872417|Soft Tissue|2002
<1|~|~|~|~|Mortality|3951461|Soft Tissue|2002
1-4|1.1|1.4|1.2|174|Incidence|14193665|Soft Tissue|2002
10-14|0.7|1.0|0.8|163|Incidence|19507073|Soft Tissue|2002
15-19|0.9|1.2|1.1|199|Incidence|18870978|Soft Tissue|2002
5-9|0.5|0.8|0.6|115|Incidence|18238526|Soft Tissue|2002
<1|2.6|3.8|3.2|115|Incidence|3625838|Soft Tissue|2002
1-4|0.3|0.5|0.4|61|Mortality|15616575|Acute Lymphocytic|2003
10-14|0.3|0.5|0.4|87|Mortality|21415353|Acute Lymphocytic|2003
15-19|0.3|0.5|0.4|82|Mortality|20797166|Acute Lymphocytic|2003
5-9|0.4|0.5|0.4|87|Mortality|19620851|Acute Lymphocytic|2003
<1|~|~|~|~|Mortality|3975871|Acute Lymphocytic|2003
1-4|6.5|7.3|6.9|1010|Incidence|14656045|Acute Lymphocytic|2003
10-14|1.6|1.9|1.7|348|Incidence|20102523|Acute Lymphocytic|2003
15-19|1.3|1.7|1.5|290|Incidence|19504602|Acute Lymphocytic|2003
5-9|3.0|3.5|3.3|599|Incidence|18417979|Acute Lymphocytic|2003
<1|1.5|2.4|1.9|70|Incidence|3732773|Acute Lymphocytic|2003
1-4|0.2|0.3|0.2|38|Mortality|15616575|Acute Myeloid|2003
10-14|0.2|0.3|0.3|55|Mortality|21415353|Acute Myeloid|2003
15-19|0.2|0.4|0.3|65|Mortality|20797166|Acute Myeloid|2003
5-9|0.1|0.3|0.2|39|Mortality|19620851|Acute Myeloid|2003
<1|~|~|~|~|Mortality|3975871|Acute Myeloid|2003
1-4|0.7|1.0|0.9|127|Incidence|14656045|Acute Myeloid|2003
10-14|0.5|0.8|0.6|127|Incidence|20102523|Acute Myeloid|2003
15-19|0.7|0.9|0.8|154|Incidence|19504602|Acute Myeloid|2003
5-9|0.3|0.5|0.4|71|Incidence|18417979|Acute Myeloid|2003
<1|1.0|1.8|1.3|50|Incidence|3732773|Acute Myeloid|2003
1-4|~|~|~|~|Mortality|15616575|Bones and Joints|2003
10-14|0.2|0.4|0.3|64|Mortality|21415353|Bones and Joints|2003
15-19|0.4|0.6|0.5|104|Mortality|20797166|Bones and Joints|2003
5-9|~|~|~|~|Mortality|19620851|Bones and Joints|2003
<1|~|~|~|~|Mortality|3975871|Bones and Joints|2003
1-4|0.2|0.3|0.2|36|Incidence|14656045|Bones and Joints|2003
10-14|1.2|1.6|1.4|277|Incidence|20102523|Bones and Joints|2003
15-19|1.3|1.6|1.4|282|Incidence|19504602|Bones and Joints|2003
5-9|0.4|0.6|0.5|91|Incidence|18417979|Bones and Joints|2003
<1|~|~|~|~|Incidence|3732773|Bones and Joints|2003
1-4|0.7|1.0|0.9|133|Mortality|15616575|Leukemia|2003
10-14|0.7|1.0|0.9|186|Mortality|21415353|Leukemia|2003
15-19|0.8|1.0|0.9|183|Mortality|20797166|Leukemia|2003
5-9|0.7|0.9|0.8|156|Mortality|19620851|Leukemia|2003
<1|0.5|1.1|0.8|30|Mortality|3975871|Leukemia|2003
1-4|7.7|8.7|8.2|1201|Incidence|14656045|Leukemia|2003
10-14|2.3|2.8|2.6|515|Incidence|20102523|Leukemia|2003
15-19|2.5|3.0|2.7|533|Incidence|19504602|Leukemia|2003
5-9|3.6|4.1|3.9|710|Incidence|18417979|Leukemia|2003
<1|3.7|5.1|4.3|162|Incidence|3732773|Leukemia|2003
1-4|0.6|0.9|0.8|118|Mortality|15616575|Other|2003
10-14|0.3|0.4|0.3|69|Mortality|21415353|Other|2003
15-19|0.5|0.8|0.7|136|Mortality|20797166|Other|2003
5-9|0.4|0.6|0.5|101|Mortality|19620851|Other|2003
<1|0.4|0.9|0.6|23|Mortality|3975871|Other|2003
1-4|4.0|4.7|4.3|635|Incidence|14656045|Other|2003
10-14|2.7|3.2|3.0|594|Incidence|20102523|Other|2003
15-19|8.3|9.1|8.7|1700|Incidence|19504602|Other|2003
5-9|1.1|1.5|1.3|239|Incidence|18417979|Other|2003
<1|10.7|12.9|11.8|440|Incidence|3732773|Other|2003
1-4|~|~|~|~|Mortality|15616575|Soft Tissue|2003
10-14|0.1|0.2|0.2|36|Mortality|21415353|Soft Tissue|2003
15-19|0.3|0.4|0.3|68|Mortality|20797166|Soft Tissue|2003
5-9|0.1|0.2|0.1|26|Mortality|19620851|Soft Tissue|2003
<1|~|~|~|~|Mortality|3975871|Soft Tissue|2003
1-4|0.9|1.3|1.1|158|Incidence|14656045|Soft Tissue|2003
10-14|0.7|1.0|0.9|173|Incidence|20102523|Soft Tissue|2003
15-19|1.1|1.4|1.2|239|Incidence|19504602|Soft Tissue|2003
5-9|0.4|0.6|0.5|92|Incidence|18417979|Soft Tissue|2003
<1|2.6|3.8|3.2|118|Incidence|3732773|Soft Tissue|2003
1-4|0.2|0.4|0.3|42|Mortality|15771627|Acute Lymphocytic|2004
10-14|0.3|0.4|0.3|72|Mortality|21411680|Acute Lymphocytic|2004
15-19|0.4|0.5|0.4|93|Mortality|21102552|Acute Lymphocytic|2004
5-9|0.3|0.5|0.4|83|Mortality|19454237|Acute Lymphocytic|2004
<1|~|~|~|~|Mortality|4014258|Acute Lymphocytic|2004
1-4|7.3|8.2|7.7|1165|Incidence|15108940|Acute Lymphocytic|2004
10-14|1.7|2.0|1.8|379|Incidence|20515088|Acute Lymphocytic|2004
15-19|1.5|1.8|1.6|328|Incidence|20195422|Acute Lymphocytic|2004
5-9|3.0|3.5|3.2|604|Incidence|18639099|Acute Lymphocytic|2004
<1|1.6|2.5|2.0|76|Incidence|3842951|Acute Lymphocytic|2004
1-4|0.3|0.5|0.3|55|Mortality|15771627|Acute Myeloid|2004
10-14|0.2|0.3|0.2|50|Mortality|21411680|Acute Myeloid|2004
15-19|0.2|0.4|0.3|64|Mortality|21102552|Acute Myeloid|2004
5-9|0.1|0.3|0.2|35|Mortality|19454237|Acute Myeloid|2004
<1|~|~|~|~|Mortality|4014258|Acute Myeloid|2004
1-4|0.8|1.1|0.9|136|Incidence|15108940|Acute Myeloid|2004
10-14|0.5|0.7|0.6|129|Incidence|20515088|Acute Myeloid|2004
15-19|0.7|1.0|0.8|169|Incidence|20195422|Acute Myeloid|2004
5-9|0.4|0.6|0.5|86|Incidence|18639099|Acute Myeloid|2004
<1|1.1|2.0|1.5|58|Incidence|3842951|Acute Myeloid|2004
1-4|~|~|~|~|Mortality|15771627|Bones and Joints|2004
10-14|0.2|0.3|0.3|57|Mortality|21411680|Bones and Joints|2004
15-19|0.4|0.6|0.5|114|Mortality|21102552|Bones and Joints|2004
5-9|~|~|~|~|Mortality|19454237|Bones and Joints|2004
<1|~|~|~|~|Mortality|4014258|Bones and Joints|2004
1-4|0.1|0.3|0.2|31|Incidence|15108940|Bones and Joints|2004
10-14|1.3|1.6|1.4|295|Incidence|20515088|Bones and Joints|2004
15-19|1.3|1.7|1.5|299|Incidence|20195422|Bones and Joints|2004
5-9|0.4|0.6|0.5|98|Incidence|18639099|Bones and Joints|2004
<1|~|~|~|~|Incidence|3842951|Bones and Joints|2004
1-4|0.6|0.9|0.8|120|Mortality|15771627|Leukemia|2004
10-14|0.6|0.9|0.7|156|Mortality|21411680|Leukemia|2004
15-19|0.9|1.1|1.0|210|Mortality|21102552|Leukemia|2004
5-9|0.7|0.9|0.8|156|Mortality|19454237|Leukemia|2004
<1|0.4|0.9|0.6|23|Mortality|4014258|Leukemia|2004
1-4|8.7|9.7|9.2|1385|Incidence|15108940|Leukemia|2004
10-14|2.6|3.0|2.8|572|Incidence|20515088|Leukemia|2004
15-19|2.6|3.1|2.9|581|Incidence|20195422|Leukemia|2004
5-9|3.6|4.2|3.9|732|Incidence|18639099|Leukemia|2004
<1|3.8|5.2|4.4|171|Incidence|3842951|Leukemia|2004
1-4|0.7|1.0|0.8|130|Mortality|15771627|Other|2004
10-14|0.3|0.4|0.3|69|Mortality|21411680|Other|2004
15-19|0.6|0.8|0.7|151|Mortality|21102552|Other|2004
5-9|0.4|0.6|0.5|98|Mortality|19454237|Other|2004
<1|0.3|0.8|0.5|20|Mortality|4014258|Other|2004
1-4|4.0|4.7|4.3|655|Incidence|15108940|Other|2004
10-14|2.6|3.1|2.8|582|Incidence|20515088|Other|2004
15-19|8.3|9.1|8.7|1758|Incidence|20195422|Other|2004
5-9|1.4|1.8|1.6|291|Incidence|18639099|Other|2004
<1|11.2|13.4|12.3|472|Incidence|3842951|Other|2004
1-4|0.1|0.2|0.2|24|Mortality|15771627|Soft Tissue|2004
10-14|0.1|0.3|0.2|42|Mortality|21411680|Soft Tissue|2004
15-19|0.2|0.4|0.3|66|Mortality|21102552|Soft Tissue|2004
5-9|0.1|0.2|0.1|28|Mortality|19454237|Soft Tissue|2004
<1|~|~|~|~|Mortality|4014258|Soft Tissue|2004
1-4|0.9|1.3|1.1|163|Incidence|15108940|Soft Tissue|2004
10-14|0.8|1.1|0.9|192|Incidence|20515088|Soft Tissue|2004
15-19|1.0|1.3|1.2|237|Incidence|20195422|Soft Tissue|2004
