AGE|AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|COUNT|ICCC_GROUP|POPULATION|YEAR
0-14|~|~|~|~|XI(a) Adrenocortical carcinomas|57966135|2006
0-19|~|~|~|~|XI(a) Adrenocortical carcinomas|78847112|2006
0-14|2.2|3.0|2.6|152|XI(b) Thyroid carcinomas|57966135|2006
0-19|6.0|7.2|6.6|537|XI(b) Thyroid carcinomas|78847112|2006
0-14|0.2|0.4|0.3|16|XI(c) Nasopharyngeal carcinomas|57966135|2006
0-19|0.5|0.8|0.6|51|XI(c) Nasopharyngeal carcinomas|78847112|2006
0-14|2.0|2.8|2.4|139|XI(d) Malignant melanomas|57966135|2006
0-19|4.9|5.9|5.4|436|XI(d) Malignant melanomas|78847112|2006
0-14|~|~|~|~|XI(e) Skin carcinomas|57966135|2006
0-19|~|~|~|~|XI(e) Skin carcinomas|78847112|2006
0-14|1.4|2.1|1.7|101|XI(f) Other and unspecified carcinomas|57966135|2006
0-19|3.7|4.6|4.1|336|XI(f) Other and unspecified carcinomas|78847112|2006
0-14|0.6|1.0|0.8|45|XII Other and unspecified malignant neoplasms|57966135|2006
0-19|0.7|1.1|0.9|70|XII Other and unspecified malignant neoplasms|78847112|2006
0-14|0.3|0.7|0.5|27|XII(a) Other specified malignant tumors|57966135|2006
0-19|0.3|0.7|0.5|38|XII(a) Other specified malignant tumors|78847112|2006
0-14|0.2|0.5|0.3|18|XII(b) Other unspecified malignant tumors|57966135|2006
0-19|0.3|0.6|0.4|32|XII(b) Other unspecified malignant tumors|78847112|2006
0-14|159.7|162.6|161.2|46794|All ICCC Groups Combined|288616149|2006-2010
0-19|173.4|176.0|174.7|69274|All ICCC Groups Combined|393229003|2006-2010
0-14|51.7|53.4|52.5|15262|I Leukemias, myeloproliferative & myelodysplastic diseases|288616149|2006-2010
0-19|46.8|48.1|47.5|18644|I Leukemias, myeloproliferative & myelodysplastic diseases|393229003|2006-2010
0-14|39.4|40.9|40.2|11660|I(a) Lymphoid leukemias|288616149|2006-2010
0-19|33.6|34.8|34.2|13382|I(a) Lymphoid leukemias|393229003|2006-2010
0-14|7.3|8.0|7.6|2222|I(b) Acute myeloid leukemias|288616149|2006-2010
0-19|7.7|8.3|8.0|3174|I(b) Acute myeloid leukemias|393229003|2006-2010
0-14|1.6|2.0|1.8|521|I(c) Chronic myeloproliferative diseases|288616149|2006-2010
0-19|2.3|2.6|2.4|964|I(c) Chronic myeloproliferative diseases|393229003|2006-2010
0-14|1.5|1.8|1.7|483|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|288616149|2006-2010
0-19|1.4|1.7|1.6|621|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|393229003|2006-2010
0-14|1.2|1.4|1.3|376|I(e) Unspecified and other specified leukemias|288616149|2006-2010
0-19|1.2|1.4|1.3|503|I(e) Unspecified and other specified leukemias|393229003|2006-2010
0-14|16.8|17.7|17.2|4969|II Lymphomas and reticuloendothelial neoplasms|288616149|2006-2010
0-19|24.9|25.8|25.3|10143|II Lymphomas and reticuloendothelial neoplasms|393229003|2006-2010
0-14|5.5|6.0|5.8|1656|II(a) Hodgkin lymphomas|288616149|2006-2010
0-19|12.0|12.7|12.3|4988|II(a) Hodgkin lymphomas|393229003|2006-2010
0-14|6.5|7.2|6.8|1969|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|288616149|2006-2010
0-19|8.4|9.0|8.7|3450|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|393229003|2006-2010
0-14|2.4|2.7|2.6|733|II(c) Burkitt lymphoma|288616149|2006-2010
0-19|2.3|2.6|2.5|965|II(c) Burkitt lymphoma|393229003|2006-2010
0-14|1.7|2.0|1.9|550|II(d) Miscellaneous lymphoreticular neoplasms|288616149|2006-2010
0-19|1.4|1.7|1.5|602|II(d) Miscellaneous lymphoreticular neoplasms|393229003|2006-2010
0-14|0.2|0.3|0.2|61|II(e) Unspecified lymphomas|288616149|2006-2010
0-19|0.3|0.4|0.3|138|II(e) Unspecified lymphomas|393229003|2006-2010
0-14|33.5|34.8|34.2|9877|III CNS and misc intracranial and intraspinal neoplasms|288616149|2006-2010
0-19|30.4|31.5|30.9|12114|III CNS and misc intracranial and intraspinal neoplasms|393229003|2006-2010
0-14|2.6|3.0|2.8|819|III(a) Ependymomas and choroid plexus tumor|288616149|2006-2010
0-19|2.4|2.7|2.5|997|III(a) Ependymomas and choroid plexus tumor|393229003|2006-2010
0-14|16.0|17.0|16.5|4765|III(b) Astrocytomas|288616149|2006-2010
0-19|15.0|15.8|15.4|6033|III(b) Astrocytomas|393229003|2006-2010
0-14|7.4|8.0|7.7|2224|III(c) Intracranial and intraspinal embryonal tumors|288616149|2006-2010
0-19|6.1|6.6|6.4|2488|III(c) Intracranial and intraspinal embryonal tumors|393229003|2006-2010
0-14|5.8|6.3|6.0|1736|III(d) Other gliomas|288616149|2006-2010
0-19|5.3|5.8|5.5|2161|III(d) Other gliomas|393229003|2006-2010
0-14|0.6|0.7|0.6|186|III(e) Other specified intracranial & intraspinal neoplasms|288616149|2006-2010
0-19|0.6|0.7|0.6|249|III(e) Other specified intracranial & intraspinal neoplasms|393229003|2006-2010
0-14|0.4|0.6|0.5|147|III(f) Unspecified intracranial and intraspinal neoplasms|288616149|2006-2010
0-19|0.4|0.5|0.5|186|III(f) Unspecified intracranial and intraspinal neoplasms|393229003|2006-2010
0-14|10.4|11.2|10.8|3180|IV Neuroblastoma and other peripheral nervous cell tumors|288616149|2006-2010
0-19|8.0|8.5|8.3|3256|IV Neuroblastoma and other peripheral nervous cell tumors|393229003|2006-2010
0-14|10.2|11.0|10.6|3130|IV(a) Neuroblastoma and ganglioneuroblastoma|288616149|2006-2010
0-19|7.8|8.3|8.0|3170|IV(a) Neuroblastoma and ganglioneuroblastoma|393229003|2006-2010
0-14|0.1|0.2|0.2|50|IV(b) Other peripheral nervous cell tumors|288616149|2006-2010
0-19|0.2|0.3|0.2|86|IV(b) Other peripheral nervous cell tumors|393229003|2006-2010
0-14|10.5|11.3|10.9|3150|IX Soft tissue and other extraosseous sarcomas|288616149|2006-2010
0-19|11.7|12.4|12.1|4791|IX Soft tissue and other extraosseous sarcomas|393229003|2006-2010
0-14|4.9|5.4|5.2|1495|IX(a) Rhabdomyosarcomas|288616149|2006-2010
0-19|4.6|5.0|4.8|1885|IX(a) Rhabdomyosarcomas|393229003|2006-2010
0-14|0.9|1.2|1.0|302|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|288616149|2006-2010
0-19|1.1|1.4|1.2|495|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|393229003|2006-2010
0-14|~|~|~|~|IX(c) Kaposi sarcoma|288616149|2006-2010
0-19|0.0|0.1|0.0|16|IX(c) Kaposi sarcoma|393229003|2006-2010
0-14|3.3|3.8|3.5|1025|IX(d) Other specified soft tissue sarcomas|288616149|2006-2010
0-19|4.4|4.8|4.6|1840|IX(d) Other specified soft tissue sarcomas|393229003|2006-2010
0-14|1.0|1.3|1.1|325|IX(e) Unspecified soft tissue sarcomas|288616149|2006-2010
0-19|1.3|1.5|1.4|555|IX(e) Unspecified soft tissue sarcomas|393229003|2006-2010
0-14|0.2|0.3|0.3|73|Not classified by ICCC|288616149|2006-2010
0-19|0.2|0.3|0.3|114|Not classified by ICCC|393229003|2006-2010
0-14|3.9|4.4|4.1|1224|V Retinoblastoma|288616149|2006-2010
0-19|2.9|3.3|3.1|1225|V Retinoblastoma|393229003|2006-2010
0-14|8.3|9.0|8.6|2522|VI Renal tumors|288616149|2006-2010
0-19|6.7|7.2|6.9|2715|VI Renal tumors|393229003|2006-2010
0-14|7.8|8.5|8.2|2391|VI(a) Nephroblastoma and other nonepithelial renal tumors|288616149|2006-2010
0-19|6.0|6.5|6.2|2430|VI(a) Nephroblastoma and other nonepithelial renal tumors|393229003|2006-2010
0-14|0.3|0.5|0.4|119|VI(b) Renal carcinomas|288616149|2006-2010
0-19|0.6|0.8|0.7|270|VI(b) Renal carcinomas|393229003|2006-2010
0-14|~|~|~|~|VI(c) Unspecified malignant renal tumors|288616149|2006-2010
0-19|~|~|~|~|VI(c) Unspecified malignant renal tumors|393229003|2006-2010
0-14|2.4|2.8|2.6|766|VII Hepatic tumors|288616149|2006-2010
0-19|2.2|2.5|2.3|913|VII Hepatic tumors|393229003|2006-2010
0-14|2.0|2.4|2.2|650|VII(a) Hepatoblastoma|288616149|2006-2010
0-19|1.5|1.8|1.7|658|VII(a) Hepatoblastoma|393229003|2006-2010
0-14|0.3|0.5|0.4|110|VII(b) Hepatic carcinomas|288616149|2006-2010
0-19|0.5|0.7|0.6|247|VII(b) Hepatic carcinomas|393229003|2006-2010
0-14|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|288616149|2006-2010
0-19|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|393229003|2006-2010
0-14|6.5|7.1|6.8|1954|VIII Malignant bone tumors|288616149|2006-2010
0-19|8.4|9.0|8.7|3458|VIII Malignant bone tumors|393229003|2006-2010
0-14|3.6|4.1|3.8|1102|VIII(a) Osteosarcomas|288616149|2006-2010
0-19|4.7|5.2|4.9|1966|VIII(a) Osteosarcomas|393229003|2006-2010
0-14|0.1|0.2|0.1|39|VIII(b) Chondrosarcomas|288616149|2006-2010
0-19|0.3|0.4|0.3|125|VIII(b) Chondrosarcomas|393229003|2006-2010
0-14|2.2|2.5|2.3|675|VIII(c) Ewing tumor and related sarcomas of bone|288616149|2006-2010
0-19|2.7|3.0|2.8|1119|VIII(c) Ewing tumor and related sarcomas of bone|393229003|2006-2010
0-14|0.2|0.4|0.3|83|VIII(d) Other specified malignant bone tumors|288616149|2006-2010
0-19|0.4|0.5|0.4|165|VIII(d) Other specified malignant bone tumors|393229003|2006-2010
0-14|0.1|0.2|0.2|55|VIII(e) Unspecified malignant bone tumors|288616149|2006-2010
0-19|0.2|0.3|0.2|83|VIII(e) Unspecified malignant bone tumors|393229003|2006-2010
0-14|5.2|5.7|5.5|1587|X Germ cell, trophoblastic tumors & neoplasms of gonads|288616149|2006-2010
0-19|10.7|11.3|11.0|4453|X Germ cell, trophoblastic tumors & neoplasms of gonads|393229003|2006-2010
0-14|1.3|1.6|1.4|415|X(a) Intracranial & intraspinal germ cell tumors|288616149|2006-2010
0-19|1.6|1.8|1.7|663|X(a) Intracranial & intraspinal germ cell tumors|393229003|2006-2010
0-14|1.2|1.5|1.3|394|X(b) Malignant extracranial & extragonadal germ cell tumors|288616149|2006-2010
0-19|1.3|1.5|1.4|563|X(b) Malignant extracranial & extragonadal germ cell tumors|393229003|2006-2010
0-14|2.3|2.6|2.4|706|X(c) Malignant gonadal germ cell tumors|288616149|2006-2010
0-19|6.9|7.4|7.2|2927|X(c) Malignant gonadal germ cell tumors|393229003|2006-2010
0-14|0.1|0.2|0.1|36|X(d) Gonadal carcinomas|288616149|2006-2010
0-19|0.4|0.5|0.5|185|X(d) Gonadal carcinomas|393229003|2006-2010
0-14|0.1|0.2|0.1|36|X(e) Other and unspecified malignant gonadal tumors|288616149|2006-2010
0-19|0.2|0.3|0.3|115|X(e) Other and unspecified malignant gonadal tumors|393229003|2006-2010
0-14|6.7|7.3|7.0|2027|XI Other malignant epithelial neoplasms and malignant melanomas|288616149|2006-2010
0-19|17.1|17.9|17.5|7131|XI Other malignant epithelial neoplasms and malignant melanomas|393229003|2006-2010
0-14|0.2|0.3|0.2|65|XI(a) Adrenocortical carcinomas|288616149|2006-2010
0-19|0.2|0.3|0.2|85|XI(a) Adrenocortical carcinomas|393229003|2006-2010
0-14|2.4|2.8|2.6|743|XI(b) Thyroid carcinomas|288616149|2006-2010
0-19|7.4|7.9|7.6|3110|XI(b) Thyroid carcinomas|393229003|2006-2010
0-14|0.2|0.4|0.3|86|XI(c) Nasopharyngeal carcinomas|288616149|2006-2010
0-19|0.5|0.7|0.6|243|XI(c) Nasopharyngeal carcinomas|393229003|2006-2010
0-14|1.9|2.3|2.1|610|XI(d) Malignant melanomas|288616149|2006-2010
0-19|4.6|5.0|4.8|1934|XI(d) Malignant melanomas|393229003|2006-2010
0-14|0.0|0.1|0.1|17|XI(e) Skin carcinomas|288616149|2006-2010
0-19|0.1|0.1|0.1|32|XI(e) Skin carcinomas|393229003|2006-2010
0-14|1.6|1.9|1.8|506|XI(f) Other and unspecified carcinomas|288616149|2006-2010
0-19|4.1|4.5|4.2|1727|XI(f) Other and unspecified carcinomas|393229003|2006-2010
0-14|0.6|0.8|0.7|203|XII Other and unspecified malignant neoplasms|288616149|2006-2010
0-19|0.7|0.9|0.8|317|XII Other and unspecified malignant neoplasms|393229003|2006-2010
0-14|0.3|0.5|0.4|110|XII(a) Other specified malignant tumors|288616149|2006-2010
0-19|0.3|0.4|0.4|151|XII(a) Other specified malignant tumors|393229003|2006-2010
0-14|0.3|0.4|0.3|93|XII(b) Other unspecified malignant tumors|288616149|2006-2010
0-19|0.4|0.5|0.4|166|XII(b) Other unspecified malignant tumors|393229003|2006-2010
0-14|157.2|163.6|160.4|9632|All ICCC Groups Combined|59628198|2007
0-19|171.8|177.6|174.7|14342|All ICCC Groups Combined|81315506|2007
0-14|50.1|53.7|51.9|3110|I Leukemias, myeloproliferative & myelodysplastic diseases|59628198|2007
0-19|45.6|48.6|47.1|3826|I Leukemias, myeloproliferative & myelodysplastic diseases|81315506|2007
0-14|38.3|41.5|39.9|2386|I(a) Lymphoid leukemias|59628198|2007
0-19|32.9|35.5|34.2|2762|I(a) Lymphoid leukemias|81315506|2007
0-14|7.0|8.4|7.7|461|I(b) Acute myeloid leukemias|59628198|2007
0-19|7.3|8.6|7.9|652|I(b) Acute myeloid leukemias|81315506|2007
0-14|1.3|1.9|1.6|96|I(c) Chronic myeloproliferative diseases|59628198|2007
0-19|2.1|2.7|2.4|198|I(c) Chronic myeloproliferative diseases|81315506|2007
0-14|1.2|1.9|1.5|93|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|59628198|2007
0-19|1.2|1.7|1.4|118|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|81315506|2007
0-14|1.0|1.5|1.2|74|I(e) Unspecified and other specified leukemias|59628198|2007
0-19|0.9|1.4|1.2|96|I(e) Unspecified and other specified leukemias|81315506|2007
0-14|15.4|17.5|16.4|979|II Lymphomas and reticuloendothelial neoplasms|59628198|2007
0-19|23.6|25.8|24.7|2046|II Lymphomas and reticuloendothelial neoplasms|81315506|2007
0-14|4.8|6.0|5.4|323|II(a) Hodgkin lymphomas|59628198|2007
0-19|11.3|12.8|12.0|1010|II(a) Hodgkin lymphomas|81315506|2007
0-14|6.3|7.6|6.9|413|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|59628198|2007
0-19|8.0|9.3|8.6|708|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|81315506|2007
0-14|2.2|3.1|2.6|154|II(c) Burkitt lymphoma|59628198|2007
0-19|2.2|3.0|2.6|208|II(c) Burkitt lymphoma|81315506|2007
0-14|1.0|1.5|1.2|75|II(d) Miscellaneous lymphoreticular neoplasms|59628198|2007
0-19|0.8|1.3|1.0|84|II(d) Miscellaneous lymphoreticular neoplasms|81315506|2007
0-14|~|~|~|~|II(e) Unspecified lymphomas|59628198|2007
0-19|0.3|0.6|0.4|36|II(e) Unspecified lymphomas|81315506|2007
0-14|33.3|36.3|34.7|2074|III CNS and misc intracranial and intraspinal neoplasms|59628198|2007
0-19|30.2|32.7|31.4|2543|III CNS and misc intracranial and intraspinal neoplasms|81315506|2007
0-14|2.4|3.3|2.8|171|III(a) Ependymomas and choroid plexus tumor|59628198|2007
0-19|2.1|2.8|2.4|198|III(a) Ependymomas and choroid plexus tumor|81315506|2007
0-14|15.3|17.4|16.3|973|III(b) Astrocytomas|59628198|2007
0-19|14.7|16.5|15.6|1263|III(b) Astrocytomas|81315506|2007
0-14|7.1|8.5|7.8|464|III(c) Intracranial and intraspinal embryonal tumors|59628198|2007
0-19|6.0|7.1|6.5|526|III(c) Intracranial and intraspinal embryonal tumors|81315506|2007
0-14|5.9|7.3|6.6|390|III(d) Other gliomas|59628198|2007
0-19|5.2|6.3|5.7|461|III(d) Other gliomas|81315506|2007
0-14|0.5|1.0|0.7|45|III(e) Other specified intracranial & intraspinal neoplasms|59628198|2007
0-19|0.5|0.9|0.7|57|III(e) Other specified intracranial & intraspinal neoplasms|81315506|2007
0-14|0.3|0.7|0.5|31|III(f) Unspecified intracranial and intraspinal neoplasms|59628198|2007
0-19|0.3|0.6|0.5|38|III(f) Unspecified intracranial and intraspinal neoplasms|81315506|2007
0-14|10.8|12.5|11.6|714|IV Neuroblastoma and other peripheral nervous cell tumors|59628198|2007
0-19|8.3|9.6|8.9|732|IV Neuroblastoma and other peripheral nervous cell tumors|81315506|2007
0-14|10.6|12.3|11.5|703|IV(a) Neuroblastoma and ganglioneuroblastoma|59628198|2007
0-19|8.1|9.4|8.7|714|IV(a) Neuroblastoma and ganglioneuroblastoma|81315506|2007
0-14|~|~|~|~|IV(b) Other peripheral nervous cell tumors|59628198|2007
0-19|0.1|0.3|0.2|18|IV(b) Other peripheral nervous cell tumors|81315506|2007
0-14|10.1|11.8|10.9|654|IX Soft tissue and other extraosseous sarcomas|59628198|2007
0-19|11.6|13.1|12.4|1016|IX Soft tissue and other extraosseous sarcomas|81315506|2007
0-14|5.1|6.3|5.7|339|IX(a) Rhabdomyosarcomas|59628198|2007
0-19|4.6|5.6|5.1|415|IX(a) Rhabdomyosarcomas|81315506|2007
0-14|0.9|1.4|1.1|67|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|59628198|2007
0-19|1.1|1.6|1.3|111|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|81315506|2007
0-14|~|~|~|~|IX(c) Kaposi sarcoma|59628198|2007
0-19|~|~|~|~|IX(c) Kaposi sarcoma|81315506|2007
0-14|2.9|3.8|3.3|198|IX(d) Other specified soft tissue sarcomas|59628198|2007
0-19|4.3|5.2|4.7|393|IX(d) Other specified soft tissue sarcomas|81315506|2007
0-14|0.6|1.1|0.8|49|IX(e) Unspecified soft tissue sarcomas|59628198|2007
0-19|0.9|1.4|1.1|94|IX(e) Unspecified soft tissue sarcomas|81315506|2007
0-14|~|~|~|~|Not classified by ICCC|59628198|2007
0-19|0.2|0.4|0.3|21|Not classified by ICCC|81315506|2007
0-14|3.5|4.5|4.0|247|V Retinoblastoma|59628198|2007
0-19|2.6|3.4|3.0|247|V Retinoblastoma|81315506|2007
0-14|7.8|9.3|8.5|515|VI Renal tumors|59628198|2007
0-19|6.3|7.4|6.9|555|VI Renal tumors|81315506|2007
0-14|7.4|8.8|8.1|489|VI(a) Nephroblastoma and other nonepithelial renal tumors|59628198|2007
0-19|5.7|6.8|6.2|500|VI(a) Nephroblastoma and other nonepithelial renal tumors|81315506|2007
0-14|0.3|0.6|0.4|25|VI(b) Renal carcinomas|59628198|2007
0-19|0.5|0.8|0.6|53|VI(b) Renal carcinomas|81315506|2007
0-14|~|~|~|~|VI(c) Unspecified malignant renal tumors|59628198|2007
0-19|~|~|~|~|VI(c) Unspecified malignant renal tumors|81315506|2007
0-14|2.2|3.0|2.6|156|VII Hepatic tumors|59628198|2007
0-19|2.0|2.7|2.3|190|VII Hepatic tumors|81315506|2007
0-14|1.9|2.6|2.2|137|VII(a) Hepatoblastoma|59628198|2007
0-19|1.4|2.0|1.7|138|VII(a) Hepatoblastoma|81315506|2007
0-14|0.2|0.5|0.3|19|VII(b) Hepatic carcinomas|59628198|2007
0-19|0.5|0.8|0.6|52|VII(b) Hepatic carcinomas|81315506|2007
0-14|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|59628198|2007
0-19|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|81315506|2007
0-14|6.2|7.5|6.8|405|VIII Malignant bone tumors|59628198|2007
0-19|8.0|9.3|8.6|710|VIII Malignant bone tumors|81315506|2007
0-14|3.2|4.2|3.7|218|VIII(a) Osteosarcomas|59628198|2007
0-19|4.2|5.2|4.7|384|VIII(a) Osteosarcomas|81315506|2007
0-14|~|~|~|~|VIII(b) Chondrosarcomas|59628198|2007
0-19|0.2|0.5|0.3|28|VIII(b) Chondrosarcomas|81315506|2007
0-14|2.1|2.9|2.5|147|VIII(c) Ewing tumor and related sarcomas of bone|59628198|2007
0-19|2.7|3.4|3.0|249|VIII(c) Ewing tumor and related sarcomas of bone|81315506|2007
0-14|0.2|0.4|0.3|16|VIII(d) Other specified malignant bone tumors|59628198|2007
0-19|0.2|0.5|0.3|28|VIII(d) Other specified malignant bone tumors|81315506|2007
0-14|~|~|~|~|VIII(e) Unspecified malignant bone tumors|59628198|2007
0-19|0.2|0.4|0.3|21|VIII(e) Unspecified malignant bone tumors|81315506|2007
0-14|4.9|6.1|5.5|334|X Germ cell, trophoblastic tumors & neoplasms of gonads|59628198|2007
0-19|10.3|11.7|11.0|925|X Germ cell, trophoblastic tumors & neoplasms of gonads|81315506|2007
0-14|1.1|1.8|1.4|85|X(a) Intracranial & intraspinal germ cell tumors|59628198|2007
0-19|1.3|1.9|1.6|131|X(a) Intracranial & intraspinal germ cell tumors|81315506|2007
0-14|1.0|1.6|1.3|81|X(b) Malignant extracranial & extragonadal germ cell tumors|59628198|2007
0-19|1.1|1.7|1.4|116|X(b) Malignant extracranial & extragonadal germ cell tumors|81315506|2007
0-14|2.2|3.0|2.6|155|X(c) Malignant gonadal germ cell tumors|59628198|2007
0-19|6.8|8.0|7.4|626|X(c) Malignant gonadal germ cell tumors|81315506|2007
0-14|~|~|~|~|X(d) Gonadal carcinomas|59628198|2007
0-19|0.2|0.5|0.3|29|X(d) Gonadal carcinomas|81315506|2007
0-14|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|59628198|2007
0-19|0.2|0.4|0.3|23|X(e) Other and unspecified malignant gonadal tumors|81315506|2007
0-14|5.9|7.2|6.5|391|XI Other malignant epithelial neoplasms and malignant melanomas|59628198|2007
0-19|16.5|18.3|17.3|1465|XI Other malignant epithelial neoplasms and malignant melanomas|81315506|2007
0-14|~|~|~|~|XI(a) Adrenocortical carcinomas|59628198|2007
0-19|~|~|~|~|XI(a) Adrenocortical carcinomas|81315506|2007
0-14|1.8|2.6|2.2|131|XI(b) Thyroid carcinomas|59628198|2007
0-19|6.5|7.7|7.1|599|XI(b) Thyroid carcinomas|81315506|2007
0-14|0.2|0.4|0.3|16|XI(c) Nasopharyngeal carcinomas|59628198|2007
0-19|0.5|0.8|0.6|51|XI(c) Nasopharyngeal carcinomas|81315506|2007
0-14|1.8|2.6|2.2|131|XI(d) Malignant melanomas|59628198|2007
0-19|4.9|5.9|5.4|454|XI(d) Malignant melanomas|81315506|2007
0-14|~|~|~|~|XI(e) Skin carcinomas|59628198|2007
0-19|~|~|~|~|XI(e) Skin carcinomas|81315506|2007
0-14|1.3|2.0|1.6|96|XI(f) Other and unspecified carcinomas|59628198|2007
0-19|3.6|4.4|4.0|337|XI(f) Other and unspecified carcinomas|81315506|2007
0-14|0.5|0.9|0.7|41|XII Other and unspecified malignant neoplasms|59628198|2007
0-19|0.6|1.0|0.8|66|XII Other and unspecified malignant neoplasms|81315506|2007
0-14|0.2|0.6|0.4|23|XII(a) Other specified malignant tumors|59628198|2007
0-19|0.2|0.5|0.4|29|XII(a) Other specified malignant tumors|81315506|2007
0-14|0.2|0.5|0.3|18|XII(b) Other unspecified malignant tumors|59628198|2007
0-19|0.3|0.6|0.4|37|XII(b) Other unspecified malignant tumors|81315506|2007
0-14|158.9|165.4|162.1|9774|All ICCC Groups Combined|59850043|2008
0-19|173.1|178.8|175.9|14511|All ICCC Groups Combined|81683260|2008
0-14|51.7|55.4|53.5|3228|I Leukemias, myeloproliferative & myelodysplastic diseases|59850043|2008
0-19|46.7|49.7|48.2|3933|I Leukemias, myeloproliferative & myelodysplastic diseases|81683260|2008
0-14|39.2|42.4|40.7|2454|I(a) Lymphoid leukemias|59850043|2008
0-19|33.5|36.1|34.8|2824|I(a) Lymphoid leukemias|81683260|2008
0-14|7.3|8.7|8.0|484|I(b) Acute myeloid leukemias|59850043|2008
0-19|7.7|8.9|8.3|682|I(b) Acute myeloid leukemias|81683260|2008
0-14|1.7|2.4|2.0|124|I(c) Chronic myeloproliferative diseases|59850043|2008
0-19|2.2|2.9|2.5|211|I(c) Chronic myeloproliferative diseases|81683260|2008
0-14|1.3|2.0|1.6|99|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|59850043|2008
0-19|1.3|1.8|1.5|127|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|81683260|2008
0-14|0.9|1.4|1.1|67|I(e) Unspecified and other specified leukemias|59850043|2008
0-19|0.9|1.3|1.1|89|I(e) Unspecified and other specified leukemias|81683260|2008
0-14|15.9|18.0|17.0|1011|II Lymphomas and reticuloendothelial neoplasms|59850043|2008
0-19|24.2|26.4|25.3|2103|II Lymphomas and reticuloendothelial neoplasms|81683260|2008
0-14|5.6|6.9|6.3|372|II(a) Hodgkin lymphomas|59850043|2008
0-19|12.1|13.6|12.9|1081|II(a) Hodgkin lymphomas|81683260|2008
0-14|6.0|7.4|6.7|398|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|59850043|2008
0-19|8.1|9.4|8.7|720|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|81683260|2008
0-14|2.3|3.2|2.7|162|II(c) Burkitt lymphoma|59850043|2008
0-19|2.2|2.9|2.6|207|II(c) Burkitt lymphoma|81683260|2008
0-14|0.8|1.3|1.1|65|II(d) Miscellaneous lymphoreticular neoplasms|59850043|2008
0-19|0.7|1.1|0.8|69|II(d) Miscellaneous lymphoreticular neoplasms|81683260|2008
0-14|~|~|~|~|II(e) Unspecified lymphomas|59850043|2008
0-19|0.2|0.5|0.3|26|II(e) Unspecified lymphomas|81683260|2008
0-14|32.8|35.8|34.3|2057|III CNS and misc intracranial and intraspinal neoplasms|59850043|2008
0-19|30.1|32.5|31.3|2546|III CNS and misc intracranial and intraspinal neoplasms|81683260|2008
0-14|2.3|3.1|2.7|160|III(a) Ependymomas and choroid plexus tumor|59850043|2008
0-19|2.0|2.7|2.4|193|III(a) Ependymomas and choroid plexus tumor|81683260|2008
0-14|15.6|17.7|16.6|997|III(b) Astrocytomas|59850043|2008
0-19|14.6|16.4|15.5|1260|III(b) Astrocytomas|81683260|2008
0-14|7.4|8.9|8.1|489|III(c) Intracranial and intraspinal embryonal tumors|59850043|2008
0-19|6.2|7.3|6.7|547|III(c) Intracranial and intraspinal embryonal tumors|81683260|2008
0-14|5.2|6.4|5.8|346|III(d) Other gliomas|59850043|2008
0-19|5.1|6.1|5.6|453|III(d) Other gliomas|81683260|2008
0-14|0.5|0.9|0.7|42|III(e) Other specified intracranial & intraspinal neoplasms|59850043|2008
0-19|0.5|0.9|0.7|57|III(e) Other specified intracranial & intraspinal neoplasms|81683260|2008
0-14|0.2|0.6|0.4|23|III(f) Unspecified intracranial and intraspinal neoplasms|59850043|2008
0-19|0.3|0.6|0.4|36|III(f) Unspecified intracranial and intraspinal neoplasms|81683260|2008
0-14|10.0|11.7|10.8|666|IV Neuroblastoma and other peripheral nervous cell tumors|59850043|2008
0-19|7.7|8.9|8.3|681|IV Neuroblastoma and other peripheral nervous cell tumors|81683260|2008
0-14|9.7|11.4|10.5|649|IV(a) Neuroblastoma and ganglioneuroblastoma|59850043|2008
0-19|7.4|8.6|8.0|657|IV(a) Neuroblastoma and ganglioneuroblastoma|81683260|2008
0-14|0.2|0.5|0.3|17|IV(b) Other peripheral nervous cell tumors|59850043|2008
0-19|0.2|0.4|0.3|24|IV(b) Other peripheral nervous cell tumors|81683260|2008
